ID no.	Business Name	Street address	City	State	Zip Code	Phone	Rating	Gender majority	 Median Salary 	Latte Price
1	 Brew Haven	8 Old Shore Place	Oakland	California	94616	415-810-4769	4.50	Male	 $72,463 	$3.31
2	 Bean Bliss	6650 Clarendon Crossing	Stockton	California	95210	209-701-1665	5.00	Female	 $87,117 	$5.35
3	 Caffeine Cove	7281 Buell Road	Fresno	California	93773	559-137-3554	4.70	Male	 $86,394 	$4.15
4	 Mug Magic	670 Jackson Avenue	Torrance	California	90510	818-789-5573	4.30	Male	 $88,343 	$5.34
5	 Daily Grind	37 Ludington Terrace	San Diego	California	92196	619-354-2389	1.60	Male	 $77,795 	$4.51
6	 Espresso Elegance	8427 Atwood Road	Visalia	California	93291	559-929-4731	1.20	Female	 $78,753 	$5.32
7	 Java Jolt	58 Welch Terrace	Sacramento	California	94273	916-163-2426	4.90	Female	 $73,380 	$4.80
8	 Cuppa Comfort	3582 Russell Drive	South Lake Tahoe	California	96154	530-505-6560	4.10	Male	 $88,458 	$5.37
9	 Roast & Relax	5016 Anniversary Point	South Lake Tahoe	California	96154	530-400-9041	3.30	Male	 $88,458 	$5.69
10	 Perk Palace	7 David Junction	Fresno	California	93726	559-323-2365	4.20	Female	 $80,973 	$5.31
11	 The Coffee Cartel	6018 Rockefeller Center	Orange	California	92867	714-292-8390	1.90	Male	 $74,340 	$4.44
12	 Sip & Savor	20 Messerschmidt Lane	Sacramento	California	94237	916-181-1174	4.60	Male	 $77,526 	$5.03
13	 Steamy Beans	897 Brickson Park Place	Sacramento	California	94250	916-816-4284	4.10	Male	 $74,226 	$4.54
14	 Grindhouse Cafe	7846 Cherokee Junction	Visalia	California	93291	559-253-9426	4.50	Male	 $78,753 	$5.27
15	 Bean & Brew	731 Straubel Point	Mountain View	California	94042	650-493-6629	4.20	Female	 $75,624 	$4.72
16	 Cafe Central	668 Mayer Trail	Newport Beach	California	92662	714-370-2098	4.90	Male	 $85,859 	$5.03
17	 Brewed Awakening	8440 Maryland Alley	Berkeley	California	94712	510-794-7068	3.10	Male	 $89,361 	$5.37
18	 The Frothy Cup	4201 Karstens Center	Escondido	California	92030	760-693-6165	4.78	Female	 $83,677 	$4.99
19	 Java Junction	307 Lindbergh Trail	Newport Beach	California	92662	714-622-1988	4.80	Male	 $85,859 	$5.24
20	 Mug Life	31 Lerdahl Center	Fullerton	California	92835	714-960-9280	4.30	Male	 $82,286 	$4.82
21	 Grounds for Joy	10 Farmco Lane	San Rafael	California	94913	415-757-3298	4.80	Male	 $82,926 	$4.94
22	 Rustic Roasters	909 Glendale Street	San Jose	California	95150	408-193-9700	4.60	Male	 $88,036 	$5.22
23	 Espresso Lane	55 Marcy Park	San Diego	California	92137	619-447-8771	4.10	Female	 $82,349 	$5.46
24	 Urban Grind	55 Gulseth Street	Sacramento	California	95828	916-865-4792	3.90	Male	 $83,453 	$5.33
25	 Brewed to Perfection	7 2nd Alley	San Francisco	California	94110	415-555-1601	4.70	Male	 $74,020 	$4.58
26	 Bean There, Done That	1 Hoffman Crossing	San Jose	California	95173	408-827-0465	1.50	Male	 $79,007 	$5.04
27	 Morning Mojo	940 Troy Circle	Anaheim	California	92805	626-533-6189	4.67	Male	 $81,169 	$4.95
28	 The Coffee Cozy	4 Dixon Place	Oxnard	California	93034	805-637-5060	4.60	Female	 $80,680 	$4.69
29	 Caffeine Corner	3 Victoria Avenue	Corona	California	92883	626-906-4250	4.20	Male	 $89,655 	$5.69
30	 Siplicity Cafe	750 Fisk Junction	Riverside	California	92519	951-312-6097	1.70	Male	 $81,651 	$5.09
31	 Perk Up Place	9 Dryden Place	Brea	California	92822	818-960-0546	4.50	Female	 $84,267 	$5.28
32	 Mocha Muse	1624 Upham Junction	Oakland	California	94622	510-470-6282	4.60	Female	 $77,653 	$5.15
33	 Heavenly Aromas	7673 Autumn Leaf Park	Oceanside	California	92056	760-908-7405	4.90	Female	 $77,003 	$4.79
34	 Steam & Sip	202 Dovetail Trail	San Jose	California	95118	408-329-4863	4.90	Male	 $82,098 	$4.85
35	 Brewmasters	73 Shelley Terrace	Glendale	California	91210	818-679-1839	4.30	Male	 $89,948 	$5.48
36	 Coffee Oasis	40155 Sutherland Parkway	Fresno	California	93786	559-729-6739	4.60	Male	 $85,042 	$5.26
37	 The Daily Grindstone	7 Ridge Oak Hill	Long Beach	California	90810	310-525-2056	4.90	Female	 $88,244 	$5.49
38	 The Beanery	1 Golf Hill	San Jose	California	95150	408-587-1758	4.40	Male	 $88,036 	$5.04
39	 Aroma Avenue	395 Graceland Court	Burbank	California	91505	661-144-3968	4.40	Female	 $88,333 	$5.50
40	 The Latte Lounge	9 Fieldstone Terrace	Fresno	California	93721	559-746-0217	4.50	Male	 $76,700 	$4.84
41	 Java Gems	975 Alpine Place	Carlsbad	California	92013	760-696-7281	1.40	Male	 $88,951 	$5.40
42	 Fresh & Frothy	7585 Park Meadow Way	Oakland	California	94605	510-523-1038	4.30	Male	 $81,656 	$5.21
43	 Brewed Bliss	8794 Ryan Parkway	Ventura	California	93005	805-811-0200	4.40	Female	 $74,782 	$4.91
44	 Cup O' Comfort	100 Dennis Way	San Jose	California	95123	408-530-7699	4.60	Male	 $80,356 	$4.69
45	 Perkfection Cafe	7174 Bay Street	Carlsbad	California	92013	760-562-1820	5.00	Female	 $88,951 	$5.07
46	 Bean Delight	7 Calypso Avenue	San Jose	California	95133	408-666-7144	4.20	Male	 $78,176 	$5.13
47	 The Coffee Nook	2220 Havey Crossing	Pasadena	California	91131	626-707-2491	4.60	Male	 $81,178 	$5.43
48	 BrewHub	494 Clove Crossing	San Diego	California	92121	760-275-2424	2.10	Male	 $83,358 	$5.43
49	 Urban Beans	3195 Sachs Avenue	Sacramento	California	95865	916-596-8276	1.90	Female	 $74,852 	$5.08
50	 Espresso Eden	550 Hollow Ridge Circle	Garden Grove	California	92645	714-865-6682	4.60	Male	 $84,504 	$5.16
51	 Steamy Serenity	882 Northland Hill	San Francisco	California	94132	415-799-7574	4.50	Male	 $72,457 	$4.36
52	 Sip & Serendipity	9 Kingsford Place	Berkeley	California	94705	510-259-6571	4.10	Female	 $75,200 	$4.48
53	 Roast Revival	614 Fairview Point	Santa Cruz	California	95064	831-756-8901	3.20	Female	 $88,439 	$5.75
54	 Caffeine Craze	78 Eliot Road	Sacramento	California	94297	916-749-8041	4.70	Male	 $87,000 	$5.30
55	 Mug Manor	853 Caliangt Point	San Francisco	California	94147	415-673-7660	2.80	Female	 $79,326 	$4.68
56	 The Daily Roast	24172 Farwell Drive	San Francisco	California	94154	415-143-9010	4.40	Male	 $85,450 	$5.15
57	 SipSational	49560 Bartillon Place	Fresno	California	93750	559-418-7230	4.90	Male	 $77,343 	$5.25
58	 Brewed to Life	77942 Menomonie Place	San Jose	California	95128	714-223-1715	4.60	Female	 $84,929 	$4.92
59	 Heavenly Beans	52 Mccormick Circle	Corona	California	92883	951-583-2316	4.20	Female	 $89,655 	$5.29
60	 Coffee Charm	1 Brickson Park Lane	Carlsbad	California	92013	760-575-0132	4.12	Male	 $88,951 	$5.22
61	 The Roastery	719 New Castle Drive	Pomona	California	91797	909-737-3442	4.20	Female	 $83,646 	$5.11
62	 Bean Boutique	63 Northridge Lane	San Diego	California	92137	619-790-3121	2.00	Male	 $82,349 	$4.79
63	 Java Jive	7025 Fulton Avenue	Stockton	California	95205	209-679-5359	4.70	Male	 $83,215 	$5.55
64	 Mug Marvel	3 Kennedy Drive	Riverside	California	92505	909-408-8347	4.40	Female	 $89,573 	$5.14
65	 Brewed Balance	3943 Shasta Way	San Jose	California	95160	408-528-7072	4.30	Female	 $76,465 	$4.49
66	 Urban Sips	200 Granby Junction	Glendale	California	91205	818-649-1370	4.40	Male	 $81,057 	$4.86
67	 Espresso Euphoria	23909 Valley Edge Lane	San Bernardino	California	92424	909-911-1714	4.30	Male	 $82,834 	$4.80
68	 Steamy Escapes	43 Luster Lane	Los Angeles	California	90005	818-673-8617	1.10	Male	 $81,489 	$4.83
69	 Caffeine Oasis	5509 Briar Crest Drive	Huntington Beach	California	92648	562-871-0569	4.10	Female	 $72,745 	$4.28
70	 Sip & Sunshine	28 Talisman Point	Santa Ana	California	92725	714-472-8157	2.50	Female	 $87,893 	$5.72
71	 Perk Up Paradise	747 Riverside Street	Los Angeles	California	90015	562-686-7446	4.30	Male	 $77,593 	$4.77
72	 Bean Bonanza	4 American Ash Lane	Inglewood	California	90398	310-679-3427	2.20	Male	 $75,008 	$5.06
73	 Coffee Comforts	4 Jackson Center	Oakland	California	94616	510-195-5640	4.90	Male	 $72,463 	$4.81
74	 Brewed Brilliance	9 Oak Point	Whittier	California	90605	562-221-2757	4.10	Male	 $76,893 	$4.99
75	 Cup of Serenity	185 Glacier Hill Way	Northridge	California	91328	818-137-2359	4.40	Female	 $86,832 	$5.27
76	 Roast Retreat	49513 Sunnyside Parkway	Sacramento	California	94280	916-350-1009	4.10	Male	 $79,089 	$4.58
77	 The Coffee Cluster	1 Village Green Lane	Los Angeles	California	90030	213-828-8573	1.80	Female	 $88,142 	$5.32
78	 BrewBurst	89 Eastlawn Park	San Bernardino	California	92415	909-329-2564	4.80	Male	 $72,573 	$4.27
79	 The Latte Lane	31 Derek Center	Moreno Valley	California	92555	951-153-7009	4.70	Female	 $87,654 	$5.11
80	 Java Jewels	565 Meadow Ridge Parkway	Escondido	California	92030	760-898-7281	4.50	Male	 $83,677 	$4.81
81	 Frothy Fables	91 Hallows Pass	Los Angeles	California	90040	323-771-5440	4.50	Male	 $76,485 	$5.18
82	 Beanstalk Cafe	43497 Spohn Alley	Burbank	California	91520	661-538-8659	4.10	Male	 $80,753 	$4.84
83	 Aroma Alley	9 Debs Way	Santa Rosa	California	95405	707-712-9851	4.00	Male	 $87,334 	$5.18
84	 Latte Lagoon	397 Meadow Valley Road	Los Angeles	California	90050	213-428-9001	4.40	Male	 $85,140 	$5.28
85	 Espresso Emporium	9128 Hauk Street	Sacramento	California	94250	916-502-6070	4.30	Female	 $74,226 	$4.38
86	 Steamy Dreams	65 Vidon Crossing	Palmdale	California	93591	661-277-3640	4.70	Male	 $79,549 	$4.76
87	 Sip & Solace	2007 Pleasant Place	Pomona	California	91797	909-393-5879	4.30	Male	 $83,646 	$5.22
88	 Roast Rhapsody	9880 Muir Center	San Francisco	California	94169	415-635-4026	1.90	Female	 $81,239 	$5.34
89	 Caffeine Cove	405 West Crossing	Fresno	California	93778	559-495-3147	3.40	Female	 $84,885 	$5.11
90	 Mug Motif	27 Clarendon Park	Oceanside	California	92056	858-798-1148	4.90	Male	 $77,003 	$4.87
91	 The Coffee Carousel	49052 Lyons Junction	Sacramento	California	94280	916-710-6994	4.70	Male	 $79,089 	$4.70
92	 Brewed Balance	90 Union Way	Bakersfield	California	93311	805-197-5574	4.90	Male	 $83,708 	$5.22
93	 Urban Roasts	900 Badeau Circle	San Jose	California	95150	408-514-7721	4.40	Female	 $88,036 	$5.59
94	 Bean Blissful	9 Bluestem Plaza	San Diego	California	92137	619-147-2455	4.30	Male	 $82,349 	$4.81
95	 Java Joyride	2 Twin Pines Center	Salinas	California	93907	831-995-0994	5.00	Male	 $72,558 	$4.88
96	 Perk Up Pavilion	47 Golf Course Way	San Diego	California	92165	619-498-4797	4.40	Female	 $76,524 	$4.67
97	 Coffee Coziness	39 Crest Line Parkway	Sacramento	California	94245	916-924-1573	1.50	Male	 $78,988 	$5.08
98	 Brewed Beauty	56 Russell Avenue	Long Beach	California	90810	562-788-1478	4.50	Male	 $88,244 	$5.79
99	 Cup of Calm	6563 Dennis Crossing	Orange	California	92867	714-534-1014	4.10	Female	 $74,340 	$4.34
100	 Roast Reverie	2263 Haas Terrace	San Francisco	California	94154	415-549-0362	4.80	Male	 $85,450 	$4.98
101	 Caffeine Crib	73838 Novick Crossing	Santa Barbara	California	93111	702-400-4122	3.61	Female	 $88,404 	$5.32
102	 Mug Maven	520 Hoard Way	San Francisco	California	94126	415-757-6430	4.61	Male	 $73,870 	$5.06
103	 Brews & Views	59 Hintze Plaza	Anaheim	California	92812	714-953-8283	1.75	Male	 $86,290 	$5.34
104	 Urban Espresso	27727 Farragut Pass	San Francisco	California	94164	415-837-4848	4.17	Female	 $86,936 	$5.74
105	 Frothy Delights	484 Mallory Circle	Orange	California	92867	714-419-8002	4.50	Female	 $74,340 	$5.05
106	 Bean Bonhomie	1082 Fordem Crossing	San Jose	California	95133	408-465-6909	4.93	Male	 $78,176 	$4.84
107	 Sip & Smiles	6272 Armistice Circle	San Bernardino	California	92415	909-332-9839	4.23	Male	 $72,573 	$4.41
108	 Brewed Perceptions	16 Schiller Circle	Los Angeles	California	90030	213-125-0543	1.79	Female	 $88,142 	$5.76
109	 Steamy Moments	6218 Northwestern Hill	Sacramento	California	94207	916-344-2547	1.63	Female	 $87,863 	$5.67
110	 Coffee Confluence	13374 Oneill Alley	Sacramento	California	95894	916-648-0869	4.94	Female	 $81,552 	$5.12
111	 Java Generations	700 Fisk Way	Los Angeles	California	90040	760-199-1218	4.54	Female	 $76,485 	$4.76
112	 Perkfection Junction	94109 Corben Hill	San Mateo	California	94405	805-836-6145	4.46	Female	 $83,324 	$5.26
113	 Cozy Cup Café	33 Kipling Point	North Hollywood	California	91616	213-311-4440	4.14	Female	 $81,346 	$4.87
114	 Mocha Mirage	9 Di Loreto Circle	Los Angeles	California	90010	213-824-3328	4.72	Female	 $80,745 	$5.31
115	 The Daily Draw	90971 Westerfield Avenue	Orange	California	92862	714-290-7945	5.00	Male	 $79,526 	$4.70
116	 Espresso Express	80 Ridge Oak Alley	Palo Alto	California	94302	650-952-0705	4.54	Male	 $89,954 	$5.12
117	 Steamy Escapades	571 Nova Road	Chico	California	95973	916-247-4918	4.35	Male	 $72,853 	$4.81
118	 Cupid's Coffee	79 Corben Drive	Los Angeles	California	90065	323-476-2830	4.81	Female	 $81,531 	$5.06
119	 Sip & Soothe	9 Lawn Center	Santa Barbara	California	93106	805-585-2893	4.35	Male	 $77,104 	$5.24
120	 Brewed Reverie	1 Mccormick Circle	San Francisco	California	94147	415-245-6243	4.89	Female	 $79,326 	$5.03
121	 Roast & Radiance	15498 Orin Junction	San Jose	California	95113	650-455-3336	1.83	Female	 $75,808 	$4.62
122	 Bean Beautique	20940 Petterle Street	Carlsbad	California	92013	760-635-9721	1.79	Female	 $88,951 	$5.05
123	 Caffeine Charisma	892 Oneill Terrace	San Diego	California	92110	619-544-6977	1.89	Female	 $84,121 	$5.50
124	 Mug Manor	22801 Morning Point	Petaluma	California	94975	707-715-2825	4.32	Male	 $83,289 	$5.22
125	 The Roasting Room	2 Orin Point	Fullerton	California	92835	714-545-4446	4.12	Female	 $82,286 	$5.07
126	 Espresso Enchantment	72478 Maple Wood Hill	San Mateo	California	94405	805-836-9381	4.26	Male	 $83,324 	$5.12
127	 Steam & Sunshine	786 Becker Drive	Simi Valley	California	93094	805-651-6723	4.13	Male	 $81,752 	$4.70
128	 Coffee Oasis	51 Mcguire Center	Stockton	California	95219	209-644-5390	4.04	Male	 $77,451 	$4.72
129	 Sip & Sparkle	8179 Kropf Lane	San Francisco	California	94137	415-641-6401	1.78	Male	 $77,404 	$5.05
130	 Perk Up Plaza	836 Crest Line Avenue	Los Angeles	California	90055	213-656-3472	1.67	Female	 $81,567 	$4.82
131	 Bean Voyage	5006 Beilfuss Place	San Diego	California	92176	619-125-6036	4.39	Male	 $74,130 	$4.60
132	 Latte Lighthouse	9 Village Green Park	Riverside	California	92513	951-972-5435	1.52	Male	 $89,067 	$5.61
133	 Java Jamboree	514 Namekagon Court	Pasadena	California	91131	626-638-2012	4.13	Male	 $81,178 	$5.27
134	 Frothy Haven	9 Donald Pass	San Francisco	California	94116	415-570-4611	2.96	Male	 $78,825 	$5.03
135	 Brewed Beginnings	607 Lyons Circle	Sacramento	California	94237	916-794-5429	4.78	Female	 $77,526 	$4.72
136	 Cup of Contentment	834 Kennedy Circle	Long Beach	California	90810	562-398-7344	4.10	Male	 $88,244 	$5.14
137	 Roast Retreat	27 Veith Point	Pasadena	California	91117	626-793-2348	4.19	Male	 $86,350 	$5.31
138	 The Coffee Cozy	6527 West Court	Los Angeles	California	90065	323-364-9163	4.10	Male	 $81,531 	$5.37
139	 Espresso Expanse	523 Basil Parkway	Los Angeles	California	90071	626-141-3021	4.75	Male	 $87,695 	$5.76
140	 Steamy Sanctuary	56937 Lien Pass	San Francisco	California	94154	415-485-1312	4.18	Female	 $85,450 	$5.40
